"contribution_id","item_id","contributor_id","role_id"
"1","1","1","2"
"2","2","2","2"
"3","3","3","2"
"4","4","4","2"
"5","5","5","2"
"6","6","6","2"
"7","7","7","2"
"8","8","8","2"
"9","9","9","2"
"10","10","10","2"
"11","11","11","2"
"12","12","12","2"
"13","13","13","2"
"14","14","14","2"
"15","15","15","2"
"16","16","16","2"
"17","17","17","2"
"18","18","18","2"
"19","19","19","2"
"20","20","20","2"
"21","21","21","4"
"22","22","22","4"
"23","23","23","4"
"24","24","24","4"
"25","25","25","4"
"26","26","26","4"
"27","27","27","4"
"28","28","28","4"
"29","29","29","4"
"30","30","30","4"
"31","31","31","4"
"32","32","32","4"
"33","33","33","4"
"34","34","34","4"
"35","35","35","4"
"36","36","36","4"
"37","37","37","4"
"38","38","38","4"
"39","39","39","4"
"40","40","40","4"
"41","41","41","6"
"42","42","42","6"
"43","43","43","6"
"44","44","44","6"
"45","45","45","6"
"46","46","46","7"
"47","47","47","6"
"48","48","48","6"
"49","49","49","6"
"50","50","50","6"
"51","51","51","6"
"52","52","52","6"
"53","53","53","6"
"54","54","54","6"
"55","55","55","6"
"56","56","56","7"
"57","57","57","6"
"58","58","58","6"
"59","59","59","6"
"60","60","60","6"
"61","61","61","3"
"62","62","62","3"
"63","63","63","3"
"64","64","64","3"
"65","65","65","3"
"66","66","66","3"
"67","67","67","3"
"68","68","68","3"
"69","69","69","3"
"70","70","70","3"
"71","71","71","3"
"72","72","72","3"
"73","73","73","3"
"74","74","74","3"
"75","75","75","3"
"76","76","76","3"
"77","77","77","3"
"78","78","78","3"
"79","79","79","3"
"80","80","80","3"
